,LIEU_VILLE,LIEU_CODE_POSTAL,LIEU_COORD_GPS_X,LIEU_COORD_GPS_Y,NOM_ZONE,TYPE_LIEU_V2_1,TYPE_LIEU_V2_2,TYPE_DECHET,SURFACE,DATE,VOLUME_TOTAL,dd,ff,t,ww,rr24,rr_weekly,rr_monthly,NB_DECHET_SECTEUR_ALIMENTATION,NB_DECHET_SECTEUR_TABAC,NB_DECHET_SECTEUR_PHARMACEUTIQUE/PARAMÉDICAL,wind_flow,saison
51,Marseille,13008,5.34322483,43.21360757,Littoral maritime port des Goudes - Callelongue,Mer-Océan,Mer-Océan,Flottant,104497.2119,2020-10-17,100.0,260.0,4.1,289.35,0.0,0.0,0.0,11.499999999999998,20.0,0.0,1.0,OSO,automne
52,Marseille,13008,5.367402891,43.24528262,Port Pointe rouge,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné),5110.134205,2020-09-06,7350.0,300.0,9.3,301.75,0.0,0.0,0.0,3.1,0.0,0.0,0.0,ONO,automne
54,Marseille,13000,5.290815894,43.35799696,Corbieres,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné),23486.1089,2020-10-17,9800.0,260.0,4.1,289.35,0.0,0.0,0.0,11.499999999999998,5549.0,0.0,0.0,OSO,automne
57,Marseille,13008,5.349315633,43.228857,Calanques de Samena et du Mauvais Pas,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné),57820.90269,2020-10-17,1680.0,260.0,4.1,289.35,0.0,0.0,0.0,11.499999999999998,1511.0,99.0,19.0,OSO,automne
58,Marseille,13009,5.498142513,43.23553523,Route Gaston Rebuffat - En Vau - Foret domaniale de la Gardiole,Zone naturelle ou rurale (hors littoral et montagne),Forêt,Présent au sol (abandonné),464194.7958,2020-10-17,6000.0,260.0,4.1,289.35,0.0,0.0,0.0,11.499999999999998,44.0,40.0,7.0,OSO,automne
59,Marseille,13007,5.299472678,43.26980723,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné),274.6529493,2020-09-17,23.2,180.0,5.8,301.95,0.0,0.0,0.3,8.2,325.0,360.0,26.0,S,automne
62,Marseille,13015,5.363098832,43.35238765,Cité des arts de la rue,Cours d'eau,Berge naturelle (hors plage),Présent au sol (abandonné),4874.573017,2020-10-17,4800.0,260.0,4.1,289.35,0.0,0.0,0.0,11.499999999999998,0.0,0.0,0.0,OSO,automne
66,Marseille,13008,5.365375983,43.21004167,de callelongue à la calanques des queyrons en suivant le GR,Littoral (terrestre),Sentier et chemin,Présent au sol (abandonné),485005.5354,2020-10-17,800.0,260.0,4.1,289.35,0.0,0.0,0.0,11.499999999999998,65.0,0.0,0.0,OSO,automne
67,Marseille,13008,5.353125339,43.2122571,Calanque de Callelongue,Littoral (terrestre),Port,Présent au sol (abandonné),147290.3135,2020-10-17,15000.0,260.0,4.1,289.35,0.0,0.0,0.0,11.499999999999998,0.0,0.0,0.0,OSO,automne
68,Marseille,13008,5.372526921,43.20931439,Calanque de Marseilleveyre,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,33743.76241,2020-10-17,900.0,260.0,4.1,289.35,0.0,0.0,0.0,11.499999999999998,0.0,0.0,0.0,OSO,automne
69,Marseille,13008,5.366626788,43.24295354,Darse sud port Pointe Rouge,Littoral (terrestre),Port,Flottant,3317.321183,2020-10-17,1500.0,260.0,4.1,289.35,0.0,0.0,0.0,11.499999999999998,200.0,0.0,0.0,OSO,automne
71,Marseille,13008,5.35027007,43.2257693,La Madrague - La Maronaise - Calanque de Saména,Littoral (terrestre),Multi-lieux,Présent au sol (abandonné),163569.9828,2020-09-19,5750.0,160.0,10.7,304.45,0.0,-0.1,-0.1,8.1,376.0,15000.0,0.0,SSE,automne
72,Marseille,13008,5.346667069,43.22356237,Calanques de l'Escalette & Blanche,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné),73718.43037,2020-10-17,6500.0,260.0,4.1,289.35,0.0,0.0,0.0,11.499999999999998,978.0,23600.0,0.0,OSO,automne
73,Marseille,13009,5.437436192,43.22826673,Campus de Luminy,Zone naturelle ou rurale (hors littoral et montagne),Sentier et chemin,Présent au sol (abandonné),422713.239,2020-10-10,6700.0,330.0,9.2,294.15,0.0,0.0,6.299999999999998,11.4,405.0,0.0,0.0,NO,automne
74,Marseille,13008,5.350501607,43.22925298,"Spots calanque de Samena, Mauvais Pas et Mont Rose",Littoral (terrestre),Rocher et crique,Présent au sol (abandonné),170401.6568,2020-10-17,1680.0,260.0,4.1,289.35,0.0,0.0,0.0,11.499999999999998,831.0,11.0,19.0,OSO,automne
