,LIEU_VILLE,LIEU_CODE_POSTAL,LIEU_COORD_GPS_X,LIEU_COORD_GPS_Y,NOM_ZONE,TYPE_LIEU_V2_1,TYPE_LIEU_V2_2,TYPE_DECHET,SURFACE,DATE,VOLUME_TOTAL,dd,ff,t,ww,rr24,rr_weekly,rr_monthly,NB_DECHET_SECTEUR_ALIMENTATION,NB_DECHET_SECTEUR_TABAC,NB_DECHET_SECTEUR_PHARMACEUTIQUE/PARAMÉDICAL,wind_flow,saison
216,Marseille,13007,5.35001496,43.28541783,Vallon des Auffes,Mer-Océan,Mer-Océan,Flottant,6741.183837,2021-09-25,270.0,120.0,4.1,302.65,0.0,0.0,2.0,39.8,95.0,22.0,9.0,ESE,automne
217,Marseille,13008,5.374200122,43.25006913,Plages de la Vieille Chapelle,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,51945.1714,2021-07-11,5700.0,270.0,6.3,302.15,0.0,0.0,10.2,25.0,1057.0,19500.0,0.0,O,été
220,Marseille,13821,5.504985753,43.28509285,Berges ARKEMA,Cours d'eau,Berge naturelle (hors plage),Présent au sol (abandonné) ou échoué,4023.152822,2021-06-28,900.0,200.0,6.5,301.75,0.0,0.0,0.0,5.4,158.0,0.0,0.0,SSO,été
221,Marseille,13007,5.299475322,43.26980588,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,393.3828385,2018-09-27,21.9,,,,,,,,270.0,113.0,11.0,,automne
222,Marseille,13007,5.29947707,43.26976925,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,454.1307576,2018-06-18,27.9,,,,,,,,625.0,301.0,17.0,,été
225,Marseille,13009,5.455178735,43.21173707,Calanque de Sugiton,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,9139.919443,2021-07-19,750.0,190.0,6.7,305.35,0.0,0.0,0.0,18.5,7.0,86.0,3.0,S,été
227,Marseille,13011,5.438346205,43.28602161,Résidence Plein Ciel,Cours d'eau,Berge naturelle (hors plage),Présent au sol (abandonné) ou échoué,4945.261481,2021-06-03,2640.0,200.0,6.3,299.55,0.0,0.6,4.8,8.5,43.0,0.0,0.0,SSO,été
228,Marseille,13007,5.299462246,43.26979855,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Echoué,261.8356042,2018-04-27,317.2,,,,,,,,1384.0,1169.0,59.0,,pringtemps
229,Marseille,13009,5.434865161,43.23672401,Rue Henri Cochet et Avenue de Luminy,Zone naturelle ou rurale (hors littoral et montagne),Sentier et chemin,Présent au sol (abandonné),45052.37824,2021-07-21,950.0,260.0,2.4,304.85,0.0,0.0,0.0,15.1,94.0,1190.0,39.0,OSO,été
234,Marseille,13007,5.347602158,43.28193845,Malmousque,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné),25941.30453,2021-06-05,20.0,260.0,5.5,300.35,0.0,0.2,5.3,8.9,0.0,0.0,0.0,OSO,été
235,Marseille,13009,5.436977847,43.23112206,Parking de l'université de Luminy,Zone naturelle ou rurale (hors littoral et montagne),Parking,Présent au sol (abandonné),22162.24461,2021-07-27,1918.0,180.0,7.2,301.25,0.0,0.0,-0.1,11.2,164.0,1165.0,34.0,S,été
240,Marseille,13000,5.294338691,43.35838193,Estaque -Marseille,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,36033.41417,2021-08-22,3750.0,240.0,4.4,303.05,0.0,0.0,2.2,13.0,2157.0,8512.0,104.0,SO,été
243,Marseille,13009,5.444205082,43.21245799,Calanque de Morgiou,Littoral (terrestre),Port,Présent au sol (abandonné) ou échoué,28075.68083,2021-08-05,540.0,280.0,5.2,299.55,0.0,0.4,10.5,153.5,36.0,0.0,24.0,O,été
245,Marseille,13007,5.362208778,43.29385067,Quai Marcel Pagnol,Littoral (terrestre),Port,Présent au sol (abandonné) ou échoué,813.5535111,2021-08-14,1200.0,210.0,6.1,308.35,0.0,0.0,0.2,133.10000000000002,0.0,0.0,0.0,SSO,été
246,Marseille,13007,5.349989115,43.28539567,Vallon des Auffes,Mer-Océan,Mer-Océan,Flottant,6023.914792,2021-08-22,440.0,240.0,4.4,303.05,0.0,0.0,2.2,13.0,48.0,0.0,4.0,SO,été
256,Marseille,13000,5.291286616,43.35811044,Plage de corbières,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,126570.3256,2021-09-13,6000.0,200.0,5.0,301.25,0.0,0.2,3.0,50.8,1700.0,1000.0,0.0,SSO,automne
257,Marseille,13007,5.352691221,43.28009529,Anse de la fausse monnaie,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,4163.882117,2021-10-02,81.5,180.0,5.5,297.55,0.0,0.0,6.7,43.9,25.0,380.0,6.0,S,automne
258,Marseille,13007,5.299475433,43.2697844,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,268.580368,2018-01-05,100.0,,,,,,,,209.0,30.0,0.0,,Hiver
259,Marseille,13007,5.299469803,43.26979619,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,416.075846,2017-10-05,20.0,,,,,,,,135.0,44.0,1.0,,automne
260,Marseille,13007,5.299471319,43.26978009,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,411.325434,2017-07-06,10.0,,,,,,,,117.0,43.0,3.0,,été
261,Marseille,13007,5.299465881,43.26979162,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,276.7056324,2017-04-13,30.0,,,,,,,,673.0,275.0,15.0,,pringtemps
262,Marseille,13007,5.299460419,43.26979545,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,300.192692,2017-01-10,100.0,,,,,,,,1715.0,106.0,35.0,,Hiver
263,Marseille,13007,5.299473078,43.26977178,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,876.6582464,2021-09-23,17.4,300.0,4.2,299.05,0.0,0.2,10.5,39.6,122.0,117.0,16.0,ONO,automne
265,Marseille,13011,5.485516547,43.28714284,La Valentine,Cours d'eau,Berge naturelle (hors plage),Enfoui,32979.93995,2021-10-02,14000.0,180.0,5.5,297.55,0.0,0.0,6.7,43.9,835.0,0.0,0.0,S,automne
266,Marseille,13008,5.373788284,43.25887077,plage prado ecale borely,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné),198683.1364,2021-10-06,200.0,320.0,14.0,292.15,0.0,0.4,41.3,74.7,7.0,0.0,1000.0,NO,automne
268,Marseille,13007,5.354212291,43.29026604,Musée subaquatique de Marseille - Catalans,Mer-Océan,Mer-Océan,Flottant,21025.90261,2021-10-09,372.5,290.0,2.2,294.35,0.0,0.0,41.3,66.69999999999999,237.0,12.0,17.0,O,automne
269,Marseille,13008,5.372668138,43.25501613,Escale Borely,Mer-Océan,Mer-Océan,Flottant,27372.27272,2021-10-10,214.0,270.0,4.4,292.35,0.0,0.0,41.3,66.69999999999999,49.0,1.0,10.0,O,automne
274,Marseille,13008,5.342324335,43.2159566,anse de la Maronaise - les Goudes,Mer-Océan,Mer-Océan,Flottant,15358.35245,2021-10-15,900.0,260.0,2.5,293.55,0.0,0.0,0.5999999999999999,67.3,0.0,0.0,0.0,OSO,automne
275,Marseille,13008,5.346731012,43.21328802,Callelongue & Cap Croisette,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,201163.4822,2021-10-10,7950.0,270.0,4.4,292.35,0.0,0.0,41.3,66.69999999999999,1965.0,1000.0,0.0,O,automne
276,Marseille,13009,5.403546189,43.27129357,promenade Dromel,Zone urbaine,"Parc urbain, Jardin public",Présent au sol (abandonné),14664.99696,2021-10-25,50.0,250.0,3.2,293.25,0.0,0.0,6.200000000000001,50.0,22.0,2.0,0.0,OSO,automne
277,Marseille,13008,5.373182187,43.25767285,plage de l'huveaune,Mer-Océan,Mer-Océan,Flottant,79018.85827,2021-10-17,1455.0,260.0,3.0,293.35,0.0,0.4,1.0,67.79999999999998,156.0,0.0,110.0,OSO,automne
279,Marseille,13008,5.346873082,43.21355161,Fort Napoléon,Littoral (terrestre),"Espace naturel en arrière plage/côte (calanques, colline …)",Présent au sol (abandonné),57503.82294,2021-10-21,1230.0,310.0,5.3,293.15,0.0,5.9,6.6000000000000005,74.3,129.0,1250.0,40.0,ONO,automne
280,Marseille,13008,5.34377091,43.21415192,Colline Maronaise,Littoral (terrestre),"Espace naturel en arrière plage/côte (calanques, colline …)",Présent au sol (abandonné),29901.04923,2021-10-21,250.0,310.0,5.3,293.15,0.0,5.9,6.6000000000000005,74.3,42.0,308.0,6.0,ONO,automne
281,Marseille,13008,5.343230684,43.2159414,Plage de la Maronaise / Digues / Goudes,Littoral (terrestre),Digue et ouvrage,Flottant,21026.59107,2021-10-21,175.0,310.0,5.3,293.15,0.0,5.9,6.6000000000000005,74.3,55.0,500.0,11.0,ONO,automne
282,Marseille,13008,5.340740201,43.2140792,Maronnaise Est / Cap Croisette,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,22726.5071,2021-10-21,232.0,310.0,5.3,293.15,0.0,5.9,6.6000000000000005,74.3,50.0,250.0,7.0,ONO,automne
283,Marseille,13008,5.340278002,43.21454373,Plage Croisette,Littoral (terrestre),"Plage (sable, galets, gravillons)",Flottant,2647.206372,2021-10-21,460.0,310.0,5.3,293.15,0.0,5.9,6.6000000000000005,74.3,13.0,0.0,10.0,ONO,automne
284,Marseille,13008,5.368974193,43.25751551,plage de l'huveaune,Mer-Océan,Mer-Océan,Flottant,316710.3376,2021-10-24,3751.0,250.0,3.4,293.35,0.0,0.2,6.4,55.4,375.0,6.0,29.0,OSO,automne
286,Marseille,13008,5.34056567,43.21591333,Les Goudes,Mer-Océan,Mer-Océan,Flottant,66647.89285,2021-11-06,857.0,320.0,4.6,288.35,0.0,0.0,26.9,61.2,0.0,0.0,0.0,NO,automne
288,Marseille,13009,5.401618152,43.23072384,Quartier autour de l'école des Calanques et Vallon de la Jarre,Zone naturelle ou rurale (hors littoral et montagne),Champ - prairie - lande - garrigue - maquis,Présent au sol (abandonné),702381.1134,2021-09-24,0.0,290.0,2.3,299.45,0.0,0.2,2.0,39.8,0.0,0.0,0.0,O,automne
289,Marseille,13009,5.431762825,43.23556668,Luminy,Zone naturelle ou rurale (hors littoral et montagne),Sentier et chemin,Présent au sol (abandonné),196344.0334,2021-09-18,0.0,260.0,3.0,299.15,0.0,0.0,19.6,43.2,0.0,0.0,0.0,OSO,automne
290,Marseille,13008,5.367288023,43.24552858,Digue Est du Port de la Pointe Rouge,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,6687.671784,2022-01-08,3951.0,300.0,8.3,285.65,0.0,-0.1,0.6,5.0,1502.0,100.0,370.0,ONO,Hiver
291,Marseille,13006,5.370487624,43.28466095,Notre Dame de la Garde,Zone urbaine,"Parc urbain, Jardin public",Présent au sol (abandonné),5275.925127,2022-02-13,8542.0,130.0,7.3,286.25,0.0,0.0,0.0,9.9,2066.0,30000.0,340.0,SE,Hiver
294,Marseille,13008,5.372392682,43.25210912,Digue et plage de la vieille chapelle,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,18419.03984,2021-11-18,460.0,340.0,2.6,288.35,0.0,0.0,16.799999999999997,85.8,49.0,100.0,8.0,NNO,automne
297,Marseille,13008,5.375237965,43.25636234,Plage Borely,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,168.4432518,2021-11-25,30.0,300.0,2.3,284.35,63.0,24.4,30.3,109.8,2.0,0.0,1.0,ONO,automne
299,Marseille,13008,5.342204648,43.21508282,Marseille - Anse de la maronaire,Littoral (terrestre),Rocher et crique,Enfoui,8226.704948,2021-06-05,979.0,260.0,5.5,300.35,0.0,0.2,5.3,8.9,0.0,0.0,0.0,OSO,été
316,Marseille,13007,5.355154305,43.29059708,Plage des catalans - Marseille,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,10672.28726,2021-09-04,4325.5,260.0,4.1,299.55,0.0,15.1,15.4,57.0,1492.0,30000.0,132.0,OSO,automne
317,Marseille,13007,5.346191252,43.28161962,Plateau de malmousque - Marseille,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,5671.458464,2021-09-05,1431.0,260.0,2.7,302.05,0.0,0.0,15.4,57.0,2339.0,20524.0,94.0,OSO,automne
318,Marseille,13008,5.341847477,43.21486927,Calanques Goudes - Marseille,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,12498.76639,2021-09-11,1605.0,260.0,4.8,300.85,0.0,0.8,2.8,50.6,1529.0,5521.0,154.0,OSO,automne
329,Marseille,13008,5.374594831,43.2554341,Plage du prado - Marseille,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,129971.6346,2021-10-06,520.0,320.0,14.0,292.15,0.0,0.4,41.3,74.7,0.0,200.0,0.0,NO,automne
334,Marseille,13008,5.375239353,43.2580611,Epluchure beach,Littoral (terrestre),"Plage (sable, galets, gravillons)",Enfoui,7909.120244,2021-10-06,5000.0,320.0,14.0,292.15,0.0,0.4,41.3,74.7,0.0,0.0,0.0,NO,automne
338,Marseille,13008,5.344716213,43.2164707,Port des Goudes,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,2881.060495,2021-08-20,1797.0,260.0,3.1,303.75,0.0,0.0,2.2,84.9,0.0,0.0,0.0,OSO,été
339,Marseille,13008,5.350748523,43.2296748,"Spots calanque de Samena, Mauvais Pas et Mont Rose",Littoral (terrestre),Rocher et crique,Présent au sol (abandonné),236355.2549,2019-05-25,630.0,240.0,2.9,294.85,0.0,0.0,5.1,10.4,340.0,0.0,0.0,SO,pringtemps
340,Marseille,13008,5.371760931,43.25823901,plage du Prado/embouchure de l'Huveaune,Mer-Océan,Mer-Océan,Flottant,109905.635,2021-12-18,2175.0,270.0,1.8,282.25,0.0,0.0,0.0,24.1,49.0,0.0,3.0,O,Hiver
341,Marseille,13007,5.299486719,43.26979772,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Echoué,491.9193969,2022-01-12,18.25,240.0,2.8,281.25,0.0,0.0,0.0,4.9,176.0,29.0,18.0,SO,Hiver
343,Marseille,13008,5.344851266,43.2138226,Colline anse de la Maronaise,Littoral (terrestre),"Espace naturel en arrière plage/côte (calanques, colline …)",Présent au sol (abandonné) ou échoué,114485.6306,2022-06-04,290.0,270.0,3.7,304.15,0.0,0.0,2.3999999999999977,36.9,67.0,180.0,15.0,O,été
344,Marseille,13008,5.366069775,43.24536823,Port de la pointe rouge,Littoral (terrestre),Port,Présent au sol (abandonné) ou échoué,6435.27116,2022-01-22,450.0,330.0,4.0,281.95,0.0,0.0,-0.2,4.7,366.0,408.0,13.0,NO,Hiver
345,Marseille,13008,5.375238761,43.25647122,Plage Crabes,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,5524.597049,2021-03-16,2.1,330.0,15.7,285.95,0.0,0.0,-0.1,-0.2,9.0,2.0,2.0,NO,pringtemps
346,Marseille,13007,5.352794436,43.28052763,Anse de la Fausse Monnaie,Littoral (terrestre),Port,Echoué,117.7933624,2021-03-16,0.08,330.0,15.7,285.95,0.0,0.0,-0.1,-0.2,1.0,0.0,0.0,NO,pringtemps
347,Marseille,13007,5.34854263,43.28230229,Anse de Malmousque,Littoral (terrestre),Port,Flottant,162.2870068,2021-03-19,1.36,360.0,4.8,280.25,61.0,0.6,0.6,0.3999999999999999,19.0,0.0,0.0,NNO,pringtemps
348,Marseille,13007,5.350299753,43.28044437,Anse de Maldormé,Littoral (terrestre),Rocher et crique,Enfoui,391.9474058,2021-03-24,0.3,270.0,4.1,288.65,0.0,0.0,1.4,1.2,7.0,17.0,1.0,O,pringtemps
349,Marseille,13008,5.368225193,43.26331397,Digue plage Prado / David,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,1178.33852,2021-04-02,1.59,290.0,2.8,294.55,0.0,0.0,26.3,50.7,14.0,6.0,0.0,O,pringtemps
350,Marseille,13007,5.35281662,43.28044828,Anse Fausse Monnaie,Littoral (terrestre),Port,Echoué,123.7881797,2021-04-06,0.16,310.0,18.0,284.05,10.0,0.0,3.0,53.5,2.0,3.0,0.0,ONO,pringtemps
351,Marseille,13007,5.350306959,43.28044376,Anse Maldormé,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,278.9533301,2021-04-06,0.4,310.0,18.0,284.05,10.0,0.0,3.0,53.5,10.0,26.0,0.0,ONO,pringtemps
352,Marseille,13007,5.348553578,43.28231506,ANse de Malmousque,Littoral (terrestre),Port,Flottant,161.6690313,2021-04-06,0.25,310.0,18.0,284.05,10.0,0.0,3.0,53.5,2.0,1.0,1.0,ONO,pringtemps
353,Marseille,13008,5.371063746,43.2447632,Plage Pointe Rouge,Littoral (terrestre),"Plage (sable, galets, gravillons)",Echoué,4168.265312,2021-04-07,2.1,320.0,15.2,283.55,0.0,0.0,3.0,53.5,66.0,50.0,3.0,NO,pringtemps
354,Marseille,13007,5.35282814,43.28047688,Anse de la Fausse Monnaie,Littoral (terrestre),Port,Echoué,96.72374147,2021-04-08,0.28,250.0,6.4,288.55,0.0,0.0,3.0,51.7,2.0,0.0,0.0,OSO,pringtemps
355,Marseille,13008,5.342871191,43.21484695,Plage de la Maronaise,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,585.3438315,2021-04-08,2.0,250.0,6.4,288.55,0.0,0.0,3.0,51.7,86.0,19.0,2.0,OSO,pringtemps
356,Marseille,13009,5.420089966,43.21003469,Plage Sormiou,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,704.5345916,2021-04-12,9.6,330.0,17.2,285.45,0.0,7.2,23.8,74.5,44.0,4.0,0.0,NO,pringtemps
357,Marseille,13008,5.374651658,43.25465015,Escale Borely,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,44638.2327,2022-02-06,1940.0,310.0,6.4,285.25,10.0,0.0,-0.1,12.6,377.0,2270.0,138.0,ONO,Hiver
358,Marseille,13008,5.37329867,43.25381944,Escale Borely,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,289964.9551,2022-02-06,3730.0,310.0,6.4,285.25,10.0,0.0,-0.1,12.6,1067.0,9090.0,105.0,ONO,Hiver
359,Marseille,13008,5.378771878,43.25787885,Hippodrome Borely,Zone urbaine,"Parc urbain, Jardin public",Présent au sol (abandonné),193697.0836,2022-02-06,5000.0,310.0,6.4,285.25,10.0,0.0,-0.1,12.6,0.0,0.0,0.0,ONO,Hiver
360,Marseille,13007,5.352770708,43.28011066,Anse de la fausse monnaie,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,2684.691892,2022-02-26,223.5,270.0,2.5,285.55,0.0,0.0,-0.1,26.6,188.0,701.0,10.0,O,Hiver
362,Marseille,13014,5.386891028,43.31940516,"Exterieurs du collège Henri Wallon, Marseille 13014",Zone urbaine,"Parc urbain, Jardin public",Présent au sol (abandonné),8373.337057,2022-01-13,172.0,270.0,2.2,281.15,0.0,0.0,-0.2,4.9,90.0,130.0,47.0,O,Hiver
364,Marseille,13013,5.408961792,43.32814099,"COllège Auguste Renoir, cour + espace naturels",Zone urbaine,"Parc urbain, Jardin public",Présent au sol (abandonné),11995.13671,2022-02-04,278.5,250.0,3.4,287.15,0.0,-0.1,-0.1,15.5,1292.0,0.0,47.0,OSO,Hiver
365,Marseille,13008,5.395327026,43.26780733,99 boulevard Michelet,Cours d'eau,Berge naturelle (hors plage),Présent au sol (abandonné),862.4556102,2022-03-20,4653.0,140.0,11.0,289.85,0.0,0.0,2.5,2.9000000000000004,518.0,1000.0,0.0,SE,pringtemps
366,Marseille,13008,5.374274881,43.25311003,Plages de l'Escale Borely,Littoral (terrestre),"Parc urbain, Jardin public",Présent au sol (abandonné),181434.7303,2022-04-30,3310.0,270.0,4.3,296.85,0.0,0.0,11.899999999999997,15.399999999999997,519.0,26000.0,127.0,O,pringtemps
367,Marseille,13008,5.371019433,43.26267401,Plage du Prado Nord,Littoral (terrestre),"Parc urbain, Jardin public",Présent au sol (abandonné) ou échoué,122899.127,2022-06-05,790.0,250.0,3.2,301.85,0.0,0.0,0.999999999999998,37.0,372.0,12001.0,11.0,OSO,été
368,Marseille,13008,5.366882121,43.24499178,Port de la Pointe Rouge,Littoral (terrestre),Port,Présent au sol (abandonné) ou échoué,1588.409385,2022-07-24,1730.0,270.0,2.5,307.75,0.0,0.0,0.0,2.2,942.0,4510.0,7.0,O,été
370,Marseille,13000,5.290054896,43.35779848,Plages de Corbières,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,14988.22654,2022-09-17,4960.0,,,,,,,,5569.0,47016.0,21.0,,automne
372,Marseille,13008,5.372991278,43.25800027,plage de l'huveaune,Mer-Océan,Mer-Océan,Flottant,89070.05251,2022-03-06,1600.0,300.0,2.0,284.25,0.0,0.0,0.0,13.6,141.0,10.0,3.0,ONO,pringtemps
382,Marseille,13010,5.409413424,43.27528876,Berge de l'Huveaune - Collège Louise Michel,Cours d'eau,Berge naturelle (hors plage),Présent au sol (abandonné) ou échoué,292.0049792,2018-06-22,266.27,,,,,,,,394.0,210.0,3.0,,été
383,Marseille,13009,5.402592936,43.27091708,Promenade Dromel,Zone urbaine,"Route, rue, place",Présent au sol (abandonné),11675.93078,2022-03-26,120.0,270.0,4.7,291.65,0.0,0.0,0.4,2.8000000000000007,58.0,50.0,18.0,O,pringtemps
384,Marseille,13011,5.462065698,43.29043382,Emmaüs Saint Marcel,Cours d'eau,Lit du cours d'eau,Présent au sol (abandonné) ou échoué,1131.195016,2022-03-20,6393.0,140.0,11.0,289.85,0.0,0.0,2.5,2.9000000000000004,121.0,15.0,50.0,SE,pringtemps
385,Marseille,13009,5.406496519,43.27318167,Berges de L'Huveaune,Cours d'eau,Berge naturelle (hors plage),Enfoui,5486.502108,2022-03-03,2070.0,250.0,2.6,286.35,0.0,0.0,-0.1,26.4,77.0,0.0,0.0,OSO,pringtemps
388,Marseille,13008,5.362398465,43.24036172,Bain des dames,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné),1051.044866,2022-03-22,37.0,180.0,8.4,289.95,0.0,0.0,0.3,2.9000000000000004,7.0,714.0,2.0,S,pringtemps
392,Marseille,13015,5.362443956,43.34487731,Ruisseau des Aygalades,Cours d'eau,Berge naturelle (hors plage),Enfoui,10353.13475,2022-03-31,2000.0,310.0,10.6,291.45,0.0,1.8,3.4000000000000004,6.200000000000001,0.0,0.0,0.0,ONO,pringtemps
393,Marseille,13015,5.353604476,43.36130468,Parc Foresta,Zone urbaine,"Parc urbain, Jardin public",Présent au sol (abandonné),18983.13261,2022-04-03,1700.0,270.0,8.1,284.25,0.0,0.0,-0.1000000000000017,15.1,1023.0,0.0,49.0,O,pringtemps
395,Marseille,13015,5.348791485,43.34406896,Collège Arthur Rimbaud,Zone urbaine,"Parc urbain, Jardin public",Présent au sol (abandonné),29414.19538,2022-03-17,174.0,10.0,2.9,290.25,0.0,0.0,2.5,8.0,344.0,150.0,50.0,N,pringtemps
399,Marseille,13008,5.362459916,43.240843,Plage du bain des dames et alentours,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,5834.32046,2022-05-01,605.0,260.0,4.4,295.65,0.0,0.0,5.800000000000001,11.9,101.0,1854.0,2.0,OSO,pringtemps
401,Marseille,13007,5.368798163,43.26749893,bassin du Roucas blanc,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,39758.13897,2022-05-14,1200.0,200.0,5.6,298.05,0.0,0.2,9.499999999999998,14.9,125.0,102.0,0.0,SSO,pringtemps
402,Marseille,13008,5.375873193,43.23595022,Parc Pastré,Zone naturelle ou rurale (hors littoral et montagne),Forêt,Présent au sol (abandonné),6964.444207,2022-04-29,1260.0,190.0,6.5,296.15,0.0,0.0,12.699999999999996,15.399999999999997,117.0,56.0,17.0,S,pringtemps
403,Marseille,13000,5.292138573,43.35768852,Corbières,Mer-Océan,Mer-Océan,Flottant,21525.6551,2022-05-08,355.0,210.0,6.6,295.65,0.0,0.2,0.0,5.6000000000000005,386.0,6.0,6.0,SSO,pringtemps
410,Marseille,13009,5.403706145,43.21350772,Cortiou - zone occupée par ouvriers et pêcheurs,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,4074.383266,2022-03-29,4510.0,180.0,6.0,292.75,0.0,0.0,0.0,2.8000000000000007,0.0,0.0,0.0,S,pringtemps
412,Marseille,13002,5.361367089,43.29664718,Le mucem,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,12095.32517,2022-08-28,3800.0,270.0,3.2,304.25,0.0,0.0,0.0,13.4,3523.0,12026.0,13.0,O,été
418,Marseille,13007,5.306068301,43.2821405,Friou calanque morgiret,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,44761.47287,2022-06-04,190.0,270.0,3.7,304.15,0.0,0.0,2.3999999999999977,36.9,147.0,250.0,3.0,O,été
420,Marseille,13009,5.405055604,43.22940058,Quartier la Cayolle,Zone urbaine,"Route, rue, place",Présent au sol (abandonné),111654.0101,2022-05-21,1940.0,200.0,3.8,299.45,0.0,0.0,0.0,15.1,339.0,500.0,69.0,SSO,pringtemps
426,Marseille,13007,5.362061107,43.27319081,Prophète,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,7147.994715,2022-06-04,227.0,270.0,3.7,304.15,0.0,0.0,2.3999999999999977,36.9,96.0,788.0,1.0,O,été
428,Marseille,13008,5.349761631,43.22959395,spot Mauvais Pas Samena et Mont Rose,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,77403.85565,2022-06-04,1590.0,270.0,3.7,304.15,0.0,0.0,2.3999999999999977,36.9,506.0,3047.0,21.0,O,été
430,Marseille,13008,5.363557104,43.21020705,callelongue  queyrons,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné),440182.7252,2022-06-04,500.0,270.0,3.7,304.15,0.0,0.0,2.3999999999999977,36.9,0.0,0.0,0.0,O,été
432,Marseille,13009,5.43233554,43.23260205,Parking de Kedge Business School,Zone urbaine,"Route, rue, place",Présent au sol (abandonné),20638.05296,2022-06-04,2235.0,270.0,3.7,304.15,0.0,0.0,2.3999999999999977,36.9,369.0,200.0,90.0,O,été
433,Marseille,13008,5.35365864,43.21231816,Callelongue,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,259727.9635,2022-06-04,1328.0,270.0,3.7,304.15,0.0,0.0,2.3999999999999977,36.9,373.0,2200.0,71.0,O,été
436,Marseille,13009,5.49728189,43.20273551,Plage d'En-Vau,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,7160.22923,2022-07-17,91.0,260.0,4.7,305.05,0.0,0.0,0.0,2.7,32.0,65.0,0.0,OSO,été
437,Marseille,13011,5.460595978,43.2837658,Parking et chemins de la route des Crêtes,Montagne,Sentier et chemin,Présent au sol (abandonné),14071.60315,2022-08-03,457.0,180.0,5.6,306.35,0.0,0.0,0.2,33.4,271.0,300.0,10.0,S,été
