,numer_sta,date,dd,ff,t,ww,rr3,rr6,rr12,rr24,hour,DATE,ff_X,ff_Y,ff_weekly,ff24,rr_weekly,rr_monthly
1777,7650,20190615120000,200,6.9,296.35,0,0.0,0.0,0.0,0.0,120000,2019-06-15,-6.483879083422768,-2.359938988947114,128.85960888132428,17.6855801795889,8.8,28.499999999999996
1778,7650,20190616120000,300,7.4,300.65,0,0.0,0.0,0.0,0.0,120000,2019-06-16,3.7,-6.408587988004846,129.05672362299484,20.70512812345902,8.600000000000001,27.299999999999997
1779,7650,20190618120000,200,6.5,299.75,0,0.0,0.0,0.0,0.0,120000,2019-06-18,-6.108002035108405,-2.223130931616846,127.69051711678702,22.51349878688726,8.600000000000001,27.299999999999997
1780,7650,20190619120000,150,6.6,300.85,0,0.0,0.0,0.0,0.0,120000,2019-06-19,-5.715767664977295,3.2999999999999994,111.02128124966988,24.079360065130036,8.4,27.299999999999997
1781,7650,20190620120000,240,5.7,300.85,0,0.0,0.0,0.0,0.0,120000,2019-06-20,-2.8500000000000028,-4.936344801571299,105.88852506371447,28.11148095934343,-0.1,27.299999999999997
1782,7650,20190621120000,200,5.1,300.25,0,0.0,0.0,0.0,0.0,120000,2019-06-21,-4.792432366008133,-1.74430273096091,95.24868745756463,30.820566987205076,-0.1,20.2
1783,7650,20190622120000,270,3.9,301.95,0,0.0,0.0,0.0,0.0,120000,2019-06-22,-7.164183775012015e-16,-3.9,94.21162108476656,30.646348841118222,0.0,19.799999999999997
1784,7650,20190623120000,200,5.4,302.45,0,0.0,0.0,0.0,0.0,120000,2019-06-23,-5.074340152243906,-1.846908773958611,98.22065787103833,33.93238541729067,0.0,19.799999999999997
1785,7650,20190624120000,210,6.3,305.05,0,0.0,0.0,0.0,0.0,120000,2019-06-24,-5.455960043841963,-3.150000000000001,95.45697887551063,33.59618760672324,0.0,19.9
1786,7650,20190625120000,170,9.6,307.95,0,0.0,0.0,0.0,0.0,120000,2019-06-25,-9.454154428917198,1.6670225056025303,94.41578708252672,41.48562719575461,0.0,19.9
1787,7650,20190626120000,180,4.3,309.85,0,0.0,0.0,0.0,0.0,120000,2019-06-26,-4.3,5.265981236333618e-16,94.03523687086961,39.10949855329015,0.0,19.9
1788,7650,20190627120000,260,5.3,309.95,0,0.0,0.0,0.0,0.0,120000,2019-06-27,-0.9203353416347307,-5.2194810909647025,96.19032084995632,38.01180717530792,0.0,15.9
1789,7650,20190628120000,250,3.4,311.45,0,0.0,0.0,0.0,0.0,120000,2019-06-28,-1.1628684873072757,-3.194954910672088,95.50182621410276,35.683547179779175,0.0,8.8
1790,7650,20190629120000,270,5.8,307.75,0,0.0,0.0,0.0,0.0,120000,2019-06-29,-1.0654427152581972e-15,-5.8,97.33677089319627,33.986944110396465,0.0,8.8
1791,7650,20190630120000,210,6.8,309.25,0,0.0,0.0,0.0,0.0,120000,2019-06-30,-5.888972745734183,-3.400000000000001,105.18570490913163,38.459782782816646,0.0,8.8
1792,7650,20200201120000,220,2.8,288.05,60,0.2,0.2,0.2,0.2,120000,2020-02-01,-2.1449244407331385,-1.7998053071223097,98.23760531199572,36.01082228992376,0.2,9.0
1793,7650,20200202120000,30,1.1,288.95,0,0.0,0.0,0.0,-0.1,120000,2020-02-02,0.9526279441628827,0.5499999999999999,98.18037714298949,28.65323404181278,0.1,8.9
1794,7650,20200203120000,310,8.7,292.95,0,0.0,0.0,0.0,0.0,120000,2020-02-03,5.592252204272891,-6.664586655135109,98.89944525425123,26.71503169731454,0.1,8.9
