,LIEU_VILLE,LIEU_CODE_POSTAL,LIEU_COORD_GPS_X,LIEU_COORD_GPS_Y,NOM_ZONE,TYPE_LIEU_V2_1,TYPE_LIEU_V2_2,TYPE_DECHET,SURFACE,DATE,VOLUME_TOTAL,dd,ff24,ff_weekly,t,ww,rr24,rr_weekly,rr_monthly,NB_DECHET_SECTEUR_ALIMENTATION,NB_DECHET_SECTEUR_TABAC,NB_DECHET_SECTEUR_PHARMACEUTIQUE/PARAMÉDICAL,wind_flow,saison
220,Marseille,13008,5.349761631,43.22959395,spot Mauvais Pas Samena et Mont Rose,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,77403.85565,2022-06-04,1590,270.0,17.050479512378317,75.22547045636057,304.15,0.0,0.0,2.3999999999999977,36.9,506,3047,21,O,Eté
221,Marseille,13008,5.363557104,43.21020705,callelongue  queyrons,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné),440182.7252,2022-06-04,500,270.0,17.050479512378317,75.22547045636057,304.15,0.0,0.0,2.3999999999999977,36.9,0,0,0,O,Eté
222,Marseille,13009,5.43233554,43.23260205,Parking de Kedge Business School,Zone urbaine,"Route, rue, place",Présent au sol (abandonné),20638.05296,2022-06-04,2235,270.0,17.050479512378317,75.22547045636057,304.15,0.0,0.0,2.3999999999999977,36.9,369,200,90,O,Eté
223,Marseille,13008,5.35365864,43.21231816,Callelongue,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,259727.9635,2022-06-04,1328,270.0,17.050479512378317,75.22547045636057,304.15,0.0,0.0,2.3999999999999977,36.9,373,2200,71,O,Eté
224,Marseille,13009,5.49728189,43.20273551,Plage d'En-Vau,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,7160.22923,2022-07-17,91,260.0,32.5685965677291,281.7971881651187,305.05,0.0,0.0,0.0,2.7,32,65,0,OSO,Eté
225,Marseille,13011,5.460595978,43.2837658,Parking et chemins de la route des Crêtes,Montagne,Sentier et chemin,Présent au sol (abandonné),14071.60315,2022-08-03,457,180.0,51.00944724894189,175.69504778743175,306.35,0.0,0.0,0.2,33.4,271,300,10,S,Eté
226,Marseille,13009,5.444536194,43.21221038,Calanque de Morgiou,Mer-Océan,Mer-Océan,Flottant,13013.01344,2022-06-18,716,180.0,39.30349336395049,99.07333976538717,308.05,0.0,0.0,0.0,4.3,121,2,0,S,Eté
227,Marseille,13007,5.352666504,43.28007595,Anse de la Fausse Monnaie,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,2545.324088,2022-07-23,153.5,260.0,32.47726810093663,271.1690326976217,305.65,0.0,0.0,0.0,2.2,313,2518,7,OSO,Eté
228,Marseille,13008,5.343020953,43.21493136,Plage de la Maronaise,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,876.9736702,2022-06-04,31.18,270.0,17.050479512378317,75.22547045636057,304.15,0.0,0.0,2.3999999999999977,36.9,242,280,97,O,Eté
229,Marseille,13007,5.346576562,43.28106855,Anse de Malmousque,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné),10109.77244,2022-06-25,680,210.0,41.74704762459098,80.9282195404191,303.55,0.0,0.0,4.799999999999998,7.1,193,5000,9,SSO,Eté
230,Marseille,13007,5.299486719,43.26979772,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,491.9193969,2022-04-20,73.1,100.0,21.024217718552844,162.7422844918439,290.65,61.0,0.4,1.1999999999999984,9.999999999999998,163,41,30,E,Printemps
231,Marseille,13008,5.34561768,43.22160756,Escalette,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné),20771.36857,2022-06-04,298.1,270.0,17.050479512378317,75.22547045636057,304.15,0.0,0.0,2.3999999999999977,36.9,178,2415,13,O,Eté
232,Marseille,13008,5.340372988,43.21504893,Littoral Nord Maronaise (sans la plage),Littoral (terrestre),Rocher et crique,Présent au sol (abandonné),13340.08037,2022-06-04,310,270.0,17.050479512378317,75.22547045636057,304.15,0.0,0.0,2.3999999999999977,36.9,82,1055,21,O,Eté
233,Marseille,13008,5.34264682,43.21318121,Littoral Sud  Maronaise,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,27806.98449,2022-06-04,155,270.0,17.050479512378317,75.22547045636057,304.15,0.0,0.0,2.3999999999999977,36.9,21,415,2,O,Eté
234,Marseille,13009,5.437196481,43.22888528,Barrière de Luminy et alentours,Zone naturelle ou rurale (hors littoral et montagne),Sentier et chemin,Présent au sol (abandonné),15870.70023,2022-06-11,432,260.0,42.79439052819224,84.713260497319,306.85,0.0,0.0,-0.100000000000002,16.8,51,160,14,OSO,Eté
